,0,1
0,1.png,"ds^{2} = (1 - {qcos\theta\over r})^{2\over 1 + \alpha^{2}}\lbrace dr^2+r^2d\theta^2+r^2sin^2\theta d\varphi^2\rbrace -{dt^2\over  (1 - {qcos\theta\over r})^{2\over 1 + \alpha^{2}}}\, .
"
1,10.png,"\widetilde\gamma_{\rm hopf}\simeq\sum_{n>0}\widetilde{G}_n{(-a)^n\over2^{2n-1}}
"
2,100.png,"({\cal L}_a g)_{ij} = 0, \ \ \ \ ({\cal L}_a H)_{ijk} = 0 ,
"
3,1000.png,"S_{stat} = 2\pi \sqrt{N_5^{(1)} N_5^{(2)} N_5^{(3)}} \left(\sqrt{n} +\sqrt{\bar{n}}\right)
"
4,10000.png,"+ \int\!\!d^D\!z_1 d^D\!z_2 d^D\!z_3 \left.       \frac{\delta^2 W}{\delta j(x) \delta j(z_1)} \,       \frac{\delta^2 W}{\delta j(x) \delta j(z_2)} \,       \frac{\delta^2 W}{\delta j(x) \delta j(z_3)} \,       \frac{\delta^3 \Gamma}                  {\delta \Phi(z_1) \delta \Phi(z_2) \delta \Phi(z_3)}          \right] ,
"
5,100000.png,"\,^{*}d\,^{*}H=\kappa \,^{*}d\phi = J_B  . 
"
6,100001.png,"{\phi''\over A} +{1\over A}\left( -{1\over 2}{A'\over A}+2{B'\over B}+{2\over r}\right)\phi'-{2 \over r^2}\phi -\lambda\phi (\phi^2-\eta^2) =0\,.
"
7,100002.png,"\partial_{\mu} (F^{\mu\nu}-ej^{\mu}x^{\nu})=0 .
"
8,100003.png,"E_{ADM} = \frac{1}{16 \pi G_{10}} \oint_{\infty} d\Sigma^{m} \lbrace{}^{\circ}D_{n} g_{mp}- {}^{\circ}D_{m} g_{np} \rbrace {}^{\circ}g^{np}
"
9,100004.png,"P_{(2)}^-=\int \beta d\beta d^9p d^8\lambda \Phi(-p,-\lambda)\left(-\frac{p^Ip^I}{2\beta}\right) \Phi(p,\lambda)\,.
"
10,100005.png,"V_{ns}({\tilde x})= \left(\frac{{\tilde m}N^2}{16\pi}\right)N g^{2ns-1}{\tilde x}^2 \left\{{\tilde x}^2 -\frac{2{\tilde b}}{3}{\tilde x}+\frac{{\tilde b}^2}{3} -(-1)^{ns}{\tilde c}\right\} \,.
"
11,100006.png,"g_{ij}(x)={1\over a^2}\,\delta_{ij},~~\phi^a(x)=\phi^a,\quad (a,\phi^a\!:~{\rm const.}) 
"
12,100008.png,"\begin{array}{ll}\sigma^0=-{\bf 1}_{2\times 2}={\bar\sigma}^0,&\sigma^1=\tau_z=-{\bar\sigma}^1,\\\sigma^2=\tau_x=-{\bar\sigma}^2,&\sigma^{3}=\tau_y=-{\bar\sigma}^{3},\quad ({\rm or} \quad\sigma^{y}=\tau_y=-{\bar\sigma}^{y}),\end{array}
"
13,100009.png,"\rho_L (q) = \sum_{m=1}^L \ P_L (m) \ {1 \over q^{m-1}}  \ \ .
"
14,10001.png,"\Lambda_{-1,1}=\lambda^{-1}(e_{1,2p} -e_{2,2p+1}) +(e_{2,1}-e_{2p+1,2p})+2\sum_{k=1}^{p-1} e_{2+k,1+k} -2\sum_{k=1}^{p-1} e_{p+1+k,p+k},
"
15,100010.png,"exp\left( -\frac{\partial}{\partial \alpha_{j}}\theta^{jk}\frac{\partial}{\partial \alpha_{k}} \right)
"
16,100011.png,"L_{0} = \Phi(w) = \bigtriangleup\Phi(w) ,
"
17,100012.png,"\left( D^{*}D^{*}+m^2\right) {\cal H}=0  
"
18,100013.png,"{dV\over d\Phi}= -{w\Phi\over \Phi_{\!_0}^2}\, .
"
19,100014.png,"g(z,\bar z)=-\frac{1}{2}\left[x(z,\bar z)\,s+x^*(z,\bar z)\,s^*+u^*(z,\bar z)\,t+u(z,\bar z)\,t^*\right],
"
20,100015.png,"x^{c}_{\mu}=x_{\mu}+A_{\mu}.
"
21,100016.png,"s = {S \over V} = {A_H \over l_p^8 V } = {T^2 \over \gamma}. 
"
22,100017.png,"\psi(\gamma) = \exp{ -({\textstyle{g^2 \over2}}) \int_{\gamma} dy^a\int_{\gamma} dy^{a'} D_{1}(y-y') }
"
23,100018.png,"E=E_0+\frac{1}{2\sinh(\gamma(0)/2)}\sinh\left(\gamma(0)\left(\frac{1}{2}+c(0)\right)\right)hc\nu_{\rm vib}
"
24,100019.png,"\dot z_1 = - N^z(z_1) = - g(z_1) = -\frac{z_1}{P_z(z_2-z_1)};~~~\dot z_2 = -\frac{z_2}{P_z(z_2-z_1)}
"
25,10002.png,"\langle T_{zz}\rangle =-3\times \frac{\pi^2}{1440 a^4}.
"
26,100020.png,"\partial_{u} \xi_{z}^{(1)} +{1\over u} \xi_{z}^{(1)}  = {1\over (\pi T R)^2 u}\left[ C_z H_{zz}'  + C_t H_{tz}' \right]\,.
"
